E	DF	AP	PA	RLAT	LLAT	ROT	ISO
0.01	7.60E+00	6.53E-03	2.48E-03	1.72E-03	1.72E-03	3.26E-03	2.71E-03
0.015	3.21E+00	4.02E-02	5.86E-03	5.49E-03	5.49E-03	1.53E-02	1.23E-02
0.02	1.73E+00	1.22E-01	1.81E-02	1.51E-02	1.55E-02	4.62E-02	3.62E-02
0.03	7.39E-01	4.16E-01	1.28E-01	7.82E-02	9.04E-02	1.91E-01	1.43E-01
0.04	4.38E-01	7.88E-01	3.70E-01	2.05E-01	2.41E-01	4.26E-01	3.26E-01
0.05	3.28E-01	1.11E+00	6.40E-01	3.45E-01	4.05E-01	6.61E-01	5.11E-01
0.06	2.92E-01	1.31E+00	8.46E-01	4.55E-01	5.28E-01	8.28E-01	6.42E-01
0.07	2.97E-01	1.41E+00	9.66E-01	5.22E-01	5.98E-01	9.24E-01	7.20E-01
0.08	3.08E-01	1.43E+00	1.02E+00	5.54E-01	6.28E-01	9.61E-01	7.49E-01
0.1	3.72E-01	1.39E+00	1.03E+00	5.71E-01	6.41E-01	9.60E-01	7.48E-01
0.15	6.00E-01	1.26E+00	9.59E-01	5.51E-01	6.20E-01	8.92E-01	7.00E-01
0.2	8.56E-01	1.17E+00	9.15E-01	5.49E-01	6.15E-01	8.54E-01	6.79E-01
0.3	1.38E+00	1.09E+00	8.80E-01	5.57E-01	6.15E-01	8.24E-01	6.64E-01
0.4	1.89E+00	1.06E+00	8.71E-01	5.70E-01	6.23E-01	8.14E-01	6.67E-01
0.5	2.38E+00	1.04E+00	8.69E-01	5.85E-01	6.35E-01	8.12E-01	6.75E-01
0.6	2.84E+00	1.02E+00	8.70E-01	6.00E-01	6.47E-01	8.14E-01	6.84E-01
0.8	3.69E+00	1.01E+00	8.75E-01	6.28E-01	6.70E-01	8.21E-01	7.03E-01
1.0	4.47E+00	1.00E+00	8.80E-01	6.51E-01	6.91E-01	8.31E-01	7.19E-01
2.0	7.51E+00	9.92E-01	9.01E-01	7.28E-01	7.57E-01	8.71E-01	7.74E-01
4.0	1.20E+01	9.93E-01	9.18E-01	7.96E-01	8.13E-01	9.09E-01	8.24E-01
6.0	1.58E+01	9.93E-01	9.24E-01	8.27E-01	8.36E-01	9.25E-01	8.46E-01
8.0	1.95E+01	9.91E-01	9.27E-01	8.46E-01	8.50E-01	9.34E-01	8.59E-01
10.0	2.32E+01	9.90E-01	9.29E-01	8.60E-01	8.59E-01	9.41E-01	8.68E-01
20.0	4.64E+01	9.90E-01	9.29E-01	8.60E-01	8.59E-01	9.41E-01	8.68E-01
40.0	9.28E+01	9.90E-01	9.29E-01	8.60E-01	8.59E-01	9.41E-01	8.68E-01
